Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
PRU,Prudential Financial Inc,Common stocks,Large cap,Financials,"$39,826,320,000 ",4.41%,0,0,0,Analyze
EXC,Exelon Corp,Common stocks,Large cap,Utilities,"$39,620,494,736 ",3.35%,0,0,0,Analyze
PH,Parker-Hannifin Corp,Common stocks,Large cap,Industrials,"$39,337,095,692 ",1.62%,0,0,0,Analyze
FIS,Fidelity National Information Services,Common stocks,Large cap,Information Technology,"$39,121,507,534 ",2.71%,0,0,0,Analyze
SPG,"Simon Property Group, Inc",REITs,Large cap,Real Estate,"$39,105,986,062 ",5.51%,0,0,0,Analyze
COF,Capital One Financial Corp,Common stocks,Large cap,Financials,"$38,792,025,872 ",2.33%,0,0,0,Analyze
NUE,Nucor Corp,Common stocks,Large cap,Materials,"$38,412,289,698 ",1.33%,0,0,0,Analyze
XEL,Xcel Energy Inc,Common stocks,Large cap,Utilities,"$37,869,595,923 ",2.75%,0,0,0,Analyze
HLT,Hilton Worldwide Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$37,468,976,595 ",0.32%,0,0,0,Analyze
CARR,Carrier Global Corporation,Common stocks,Large cap,Industrials,"$36,929,308,502 ",1.35%,0,0,0,Analyze
PCAR,Paccar Inc,Common stocks,Large cap,Industrials,"$36,825,108,517 ",1.31%,0,0,0,Analyze
BK,Bank Of New York Mellon Corp,Common stocks,Large cap,Financials,"$36,768,654,880 ",3.08%,0,0,0,Analyze
NEM,Newmont Corporation,Common stocks,Large cap,Materials,"$36,710,416,309 ",4.68%,0,0,0,Analyze
DOW,Dow Inc.,Common stocks,Large cap,Materials,"$36,278,790,317 ",5.33%,0,0,0,Analyze
EA,Electronic Arts Inc,Common stocks,Large cap,Communication Services,"$36,155,467,445 ",0.55%,0,0,0,Analyze
WBA,Walgreen Boots Alliance Inc,Common stocks,Large cap,Consumer Staples,"$36,114,594,680 ",4.51%,0,0,0,Analyze
DD,"DuPont de Nemours, Inc.",Common stocks,Large cap,Materials,"$35,674,414,356 ",1.78%,0,0,0,Analyze
ALL,Allstate Corp,Common stocks,Large cap,Financials,"$35,630,906,267 ",2.48%,0,0,0,Analyze
YUM,Yum Brands Inc,Common stocks,Large cap,Consumer Discretionary,"$35,472,952,965 ",1.80%,0,0,0,Analyze
AMP,Ameriprise Finance Inc,Common stocks,Large cap,Financials,"$35,394,360,387 ",1.46%,0,0,0,Analyze
CMI,Cummins Inc,Common stocks,Large cap,Industrials,"$35,376,894,817 ",2.38%,0,0,0,Analyze
ILMN,Illumina Inc,Common stocks,Large cap,Health Care,"$34,933,184,000 ",0.00%,0,0,0,Analyze
BF.B,Brown Forman Inc Class B,Common stocks,Large cap,Consumer Staples,"$34,778,342,435 ",1.03%,0,0,0,Analyze
TDG,Transdigm Group Inc,Common stocks,Large cap,Industrials,"$34,747,541,828 ",0.00%,0,0,0,Analyze
IDXX,Idexx Laboratories Inc,Common stocks,Large cap,Health Care,"$34,495,747,099 ",0.00%,0,0,0,Analyze
ED,Consolidated Edison Inc,Common stocks,Large cap,Utilities,"$34,304,591,516 ",3.23%,0,0,0,Analyze
KR,Kroger,Common stocks,Large cap,Consumer Staples,"$34,244,174,301 ",1.95%,0,0,0,Analyze
ABC,AmerisourceBergen Corp,Common stocks,Large cap,Health Care,"$34,045,476,937 ",1.12%,0,0,0,Analyze
DLTR,Dollar Tree Inc,Common stocks,Large cap,Consumer Discretionary,"$33,621,895,925 ",0.00%,0,0,0,Analyze
RMD,Resmed Inc,Common stocks,Large cap,Health Care,"$33,594,560,291 ",0.75%,0,0,0,Analyze
ALB,Albemarle Corp,Common stocks,Large cap,Materials,"$33,259,678,217 ",0.55%,0,0,0,Analyze
