,date,unemployment_rate,unemployment_change
25,2020-09-01,7.9,-0.059523809523809534
24,2020-10-01,6.9,-0.12658227848101267
23,2020-11-01,6.7,-0.02898550724637683
22,2020-12-01,6.7,0.0
21,2021-01-01,6.4,-0.04477611940298509
20,2021-02-01,6.2,-0.03125
19,2021-03-01,6.0,-0.032258064516129115
18,2021-04-01,6.0,0.0
17,2021-05-01,5.8,-0.033333333333333326
16,2021-06-01,5.9,0.017241379310344973
15,2021-07-01,5.4,-0.0847457627118644
14,2021-08-01,5.2,-0.03703703703703709
13,2021-09-01,4.7,-0.09615384615384615
12,2021-10-01,4.6,-0.021276595744680993
11,2021-11-01,4.2,-0.08695652173913038
10,2021-12-01,3.9,-0.07142857142857151
9,2022-01-01,4.0,0.025641025641025772
8,2022-02-01,3.8,-0.050000000000000044
7,2022-03-01,3.6,-0.05263157894736836
6,2022-04-01,3.6,0.0
5,2022-05-01,3.6,0.0
4,2022-06-01,3.6,0.0
3,2022-07-01,3.5,-0.02777777777777779
2,2022-08-01,3.7,0.05714285714285716
1,2022-09-01,3.5,-0.05405405405405406
0,2022-10-01,3.7,0.05714285714285716
