,date,usd_price
2877,2011-05-02,72.94999694824219
2878,2011-05-03,73.13999938964844
2879,2011-05-04,73.02999877929688
2880,2011-05-05,74.19000244140625
2881,2011-05-06,74.83999633789062
2882,2011-05-09,74.73999786376953
2883,2011-05-10,74.61000061035156
2884,2011-05-11,75.33000183105469
2885,2011-05-12,75.23999786376953
2886,2011-05-13,75.76000213623047
2887,2011-05-16,75.47000122070312
2888,2011-05-17,75.4000015258789
2889,2011-05-18,75.47000122070312
2890,2011-05-19,75.12000274658203
2891,2011-05-20,75.43000030517578
2892,2011-05-23,76.0999984741211
2893,2011-05-24,75.87999725341797
2894,2011-05-25,75.93000030517578
2895,2011-05-26,75.55000305175781
2896,2011-05-27,74.94999694824219
2897,2011-05-31,74.63999938964844
2898,2011-06-01,74.68000030517578
2899,2011-06-02,74.33000183105469
2900,2011-06-03,73.77999877929688
2901,2011-06-06,73.94999694824219
2902,2011-06-07,73.5199966430664
2903,2011-06-08,73.93000030517578
2904,2011-06-09,74.19000244140625
2905,2011-06-10,74.79000091552734
2906,2011-06-13,74.51000213623047
2907,2011-06-14,74.33000183105469
2908,2011-06-15,75.5999984741211
2909,2011-06-16,75.75
2910,2011-06-17,74.98999786376953
2911,2011-06-20,75.02999877929688
2912,2011-06-21,74.54000091552734
2913,2011-06-22,74.77999877929688
2914,2011-06-23,75.44999694824219
2915,2011-06-24,75.66999816894531
2916,2011-06-27,75.38999938964844
2917,2011-06-28,75.05999755859375
2918,2011-06-29,74.69000244140625
2919,2011-06-30,74.30000305175781
2920,2011-07-01,74.3499984741211
2921,2011-07-05,74.69000244140625
2922,2011-07-06,75.12000274658203
2923,2011-07-07,74.95999908447266
2924,2011-07-08,75.18000030517578
2925,2011-07-11,75.98999786376953
2926,2011-07-12,75.80999755859375
2927,2011-07-13,75.20999908447266
2928,2011-07-14,75.25
2929,2011-07-15,75.12999725341797
2930,2011-07-18,75.4800033569336
2931,2011-07-19,75.22000122070312
2932,2011-07-20,74.79000091552734
2933,2011-07-21,74.0199966430664
2934,2011-07-22,74.19999694824219
2935,2011-07-25,74.05999755859375
2936,2011-07-26,73.47000122070312
2937,2011-07-27,74.08999633789062
2938,2011-07-28,74.22000122070312
2939,2011-07-29,73.9000015258789
2940,2011-08-01,74.26000213623047
2941,2011-08-02,74.51000213623047
2942,2011-08-03,74.04000091552734
2943,2011-08-04,75.12000274658203
2944,2011-08-05,74.5999984741211
2945,2011-08-08,74.79000091552734
2946,2011-08-09,74.61000061035156
2947,2011-08-10,74.63999938964844
2948,2011-08-11,74.68000030517578
2949,2011-08-12,74.61000061035156
2950,2011-08-15,73.83999633789062
2951,2011-08-16,74.01000213623047
2952,2011-08-17,73.66999816894531
2953,2011-08-18,74.23999786376953
2954,2011-08-19,73.98999786376953
2955,2011-08-22,74.06999969482422
2956,2011-08-23,73.87000274658203
2957,2011-08-24,74.01000213623047
2958,2011-08-25,74.27999877929688
2959,2011-08-26,73.80999755859375
2960,2011-08-29,73.72000122070312
2961,2011-08-30,73.94000244140625
2962,2011-08-31,74.12999725341797
2963,2011-09-01,74.4800033569336
2964,2011-09-02,74.75
2965,2011-09-06,75.91999816894531
2966,2011-09-07,75.45999908447266
2967,2011-09-08,76.23999786376953
2968,2011-09-09,77.19000244140625
2969,2011-09-12,77.56999969482422
2970,2011-09-13,76.91000366210938
2971,2011-09-14,76.83000183105469
2972,2011-09-15,76.23999786376953
2973,2011-09-16,76.58000183105469
2974,2011-09-19,77.38999938964844
2975,2011-09-20,77.02999877929688
2976,2011-09-21,77.33999633789062
2977,2011-09-22,78.37999725341797
2978,2011-09-23,78.30000305175781
2979,2011-09-26,78.36000061035156
2980,2011-09-27,77.51000213623047
2981,2011-09-28,77.8499984741211
2982,2011-09-29,77.91999816894531
2983,2011-09-30,78.55000305175781
2984,2011-10-03,79.44999694824219
2985,2011-10-04,79.5999984741211
2986,2011-10-05,78.91000366210938
2987,2011-10-06,78.52999877929688
2988,2011-10-07,78.72000122070312
2989,2011-10-10,77.5999984741211
2990,2011-10-11,77.58000183105469
2991,2011-10-12,76.98999786376953
2992,2011-10-13,76.98999786376953
2993,2011-10-14,76.62000274658203
2994,2011-10-17,77.13999938964844
2995,2011-10-18,77.12999725341797
2996,2011-10-19,77.11000061035156
2997,2011-10-20,76.97000122070312
2998,2011-10-21,76.30000305175781
2999,2011-10-24,76.0199966430664
3000,2011-10-25,76.25
3001,2011-10-26,76.19999694824219
3002,2011-10-27,74.87000274658203
3003,2011-10-28,75.08999633789062
3004,2011-10-31,76.16999816894531
3005,2011-11-01,77.26000213623047
3006,2011-11-02,77.01000213623047
3007,2011-11-03,76.66999816894531
3008,2011-11-04,76.91000366210938
3009,2011-11-07,76.95999908447266
3010,2011-11-08,76.66999816894531
3011,2011-11-09,77.93000030517578
3012,2011-11-10,77.63999938964844
3013,2011-11-11,76.94000244140625
3014,2011-11-14,77.55999755859375
3015,2011-11-15,77.87999725341797
3016,2011-11-16,78.16000366210938
3017,2011-11-17,78.29000091552734
3018,2011-11-18,78.0199966430664
3019,2011-11-21,78.30000305175781
3020,2011-11-22,78.2300033569336
3021,2011-11-23,79.0
3022,2011-11-25,79.61000061035156
3023,2011-11-28,79.29000091552734
3024,2011-11-29,79.0
3025,2011-11-30,78.38999938964844
3026,2011-12-01,78.31999969482422
3027,2011-12-02,78.62999725341797
3028,2011-12-05,78.61000061035156
3029,2011-12-06,78.51000213623047
3030,2011-12-07,78.4800033569336
3031,2011-12-08,78.80999755859375
3032,2011-12-09,78.62999725341797
3033,2011-12-12,79.56999969482422
3034,2011-12-13,80.25
3035,2011-12-14,80.52999877929688
3036,2011-12-15,80.23999786376953
3037,2011-12-16,80.25
3038,2011-12-19,80.25
3039,2011-12-20,79.87999725341797
3040,2011-12-21,80.0199966430664
3041,2011-12-22,79.91999816894531
3042,2011-12-23,80.01000213623047
3043,2011-12-27,79.79000091552734
3044,2011-12-28,80.48999786376953
3045,2011-12-29,80.4800033569336
3046,2011-12-30,80.16999816894531
3047,2012-01-03,79.61000061035156
3048,2012-01-04,80.08999633789062
3049,2012-01-05,80.94000244140625
3050,2012-01-06,81.23999786376953
3051,2012-01-09,81.05000305175781
3052,2012-01-10,80.80000305175781
3053,2012-01-11,81.3499984741211
3054,2012-01-12,80.7699966430664
3055,2012-01-13,81.43000030517578
3056,2012-01-17,81.18000030517578
3057,2012-01-18,80.5999984741211
3058,2012-01-19,80.20999908447266
3059,2012-01-20,80.22000122070312
3060,2012-01-23,79.69000244140625
3061,2012-01-24,79.86000061035156
3062,2012-01-25,79.56999969482422
3063,2012-01-26,79.41000366210938
3064,2012-01-27,78.9000015258789
3065,2012-01-30,79.16000366210938
3066,2012-01-31,79.27999877929688
3067,2012-02-01,78.91999816894531
3068,2012-02-02,78.97000122070312
3069,2012-02-03,78.94000244140625
3070,2012-02-06,79.08999633789062
3071,2012-02-07,78.56999969482422
3072,2012-02-08,78.63999938964844
3073,2012-02-09,78.55999755859375
3074,2012-02-10,79.11000061035156
3075,2012-02-13,78.94000244140625
3076,2012-02-14,79.58000183105469
3077,2012-02-15,79.66999816894531
3078,2012-02-16,79.33999633789062
3079,2012-02-17,79.33000183105469
3080,2012-02-21,79.04000091552734
3081,2012-02-22,79.20999908447266
3082,2012-02-23,78.80999755859375
3083,2012-02-24,78.3499984741211
3084,2012-02-27,78.55999755859375
3085,2012-02-28,78.2699966430664
3086,2012-02-29,78.7300033569336
3087,2012-03-01,78.77999877929688
3088,2012-03-02,79.4000015258789
3089,2012-03-05,79.31999969482422
3090,2012-03-06,79.86000061035156
3091,2012-03-07,79.70999908447266
3092,2012-03-08,79.16000366210938
3093,2012-03-09,80.04000091552734
3094,2012-03-12,79.87000274658203
3095,2012-03-13,80.19000244140625
3096,2012-03-14,80.55999755859375
3097,2012-03-15,80.1500015258789
3098,2012-03-16,79.77999877929688
3099,2012-03-19,79.44999694824219
3100,2012-03-20,79.58999633789062
3101,2012-03-21,79.62999725341797
3102,2012-03-22,79.73999786376953
3103,2012-03-23,79.33999633789062
3104,2012-03-26,78.93000030517578
3105,2012-03-27,79.04000091552734
3106,2012-03-28,79.16000366210938
3107,2012-03-29,79.18000030517578
3108,2012-03-30,78.93000030517578
3109,2012-04-02,78.81999969482422
3110,2012-04-03,79.4800033569336
3111,2012-04-04,79.76000213623047
3112,2012-04-05,80.06999969482422
3113,2012-04-09,79.7300033569336
3114,2012-04-10,79.88999938964844
3115,2012-04-11,79.77999877929688
3116,2012-04-12,79.27999877929688
3117,2012-04-13,79.87999725341797
3118,2012-04-16,79.55000305175781
3119,2012-04-17,79.47000122070312
3120,2012-04-18,79.52999877929688
3121,2012-04-19,79.55999755859375
3122,2012-04-20,79.18000030517578
3123,2012-04-23,79.41999816894531
3124,2012-04-24,79.22000122070312
3125,2012-04-25,79.01000213623047
3126,2012-04-26,78.91000366210938
3127,2012-04-27,78.69999694824219
3128,2012-04-30,78.79000091552734
3129,2012-05-01,78.86000061035156
3130,2012-05-02,79.12999725341797
3131,2012-05-03,79.22000122070312
3132,2012-05-04,79.47000122070312
3133,2012-05-07,79.5999984741211
3134,2012-05-08,79.7300033569336
3135,2012-05-09,80.08000183105469
3136,2012-05-10,80.11000061035156
3137,2012-05-11,80.27999877929688
3138,2012-05-14,80.5999984741211
3139,2012-05-15,81.22000122070312
3140,2012-05-16,81.37000274658203
3141,2012-05-17,81.37999725341797
3142,2012-05-18,81.29000091552734
3143,2012-05-21,81.08000183105469
3144,2012-05-22,81.66999816894531
3145,2012-05-23,82.08999633789062
3146,2012-05-24,82.29000091552734
3147,2012-05-25,82.4000015258789
3148,2012-05-29,82.44000244140625
3149,2012-05-30,83.01000213623047
3150,2012-05-31,83.04000091552734
3151,2012-06-01,82.88999938964844
3152,2012-06-04,82.55000305175781
3153,2012-06-05,82.80000305175781
3154,2012-06-06,82.31999969482422
3155,2012-06-07,82.05000305175781
3156,2012-06-08,82.51000213623047
3157,2012-06-11,82.51000213623047
3158,2012-06-12,82.41000366210938
3159,2012-06-13,82.05000305175781
3160,2012-06-14,81.9000015258789
3161,2012-06-15,81.58999633789062
3162,2012-06-18,81.94000244140625
3163,2012-06-19,81.37000274658203
3164,2012-06-20,81.48999786376953
3165,2012-06-21,82.31999969482422
3166,2012-06-22,82.22000122070312
3167,2012-06-25,82.45999908447266
3168,2012-06-26,82.37000274658203
3169,2012-06-27,82.55999755859375
3170,2012-06-28,82.66999816894531
3171,2012-06-29,81.6500015258789
3172,2012-07-02,81.87000274658203
3173,2012-07-03,81.77999877929688
